,x,y,z,layer,region,type
82,4269.566583355027,-1350.135613179586,-2031.9009339342392,L3,S1FL,ObjectiveCSD_Disk_10_176
83,4284.772463296176,-1353.9466991674863,-2044.3209515996127,L3,S1FL,ObjectiveCSD_Disk_10_176
84,4299.978343237326,-1357.7577851553863,-2056.7409692649862,L3,S1FL,ObjectiveCSD_Disk_10_176
85,4244.0170817354865,-1323.1134812918108,-2007.0608986034922,L3,S1FL,ObjectiveCSD_Disk_10_176
86,4259.222961676636,-1326.9245672797108,-2019.4809162688657,L3,S1FL,ObjectiveCSD_Disk_10_176
87,4274.428841617785,-1330.7356532676108,-2031.9009339342392,L3,S1FL,ObjectiveCSD_Disk_10_176
88,4289.634721558934,-1334.5467392555108,-2044.3209515996127,L3,S1FL,ObjectiveCSD_Disk_10_176
89,4304.840601500084,-1338.357825243411,-2056.7409692649862,L3,S1FL,ObjectiveCSD_Disk_10_176
90,4248.879339998244,-1303.7135213798354,-2007.0608986034922,L3,S1FL,ObjectiveCSD_Disk_10_176
91,4264.085219939394,-1307.5246073677356,-2019.4809162688657,L3,S1FL,ObjectiveCSD_Disk_10_176
92,4279.291099880543,-1311.3356933556356,-2031.9009339342392,L3,S1FL,ObjectiveCSD_Disk_10_176
93,4294.496979821692,-1315.1467793435356,-2044.3209515996127,L3,S1FL,ObjectiveCSD_Disk_10_176
94,4309.702859762841,-1318.9578653314356,-2056.7409692649862,L3,S1FL,ObjectiveCSD_Disk_10_176
95,4253.741598261002,-1284.3135614678602,-2007.0608986034922,L3,S1FL,ObjectiveCSD_Disk_10_176
96,4268.947478202151,-1288.1246474557604,-2019.4809162688657,L3,S1FL,ObjectiveCSD_Disk_10_176
97,4284.1533581433005,-1291.9357334436604,-2031.9009339342392,L3,S1FL,ObjectiveCSD_Disk_10_176
98,4299.359238084449,-1295.7468194315604,-2044.3209515996127,L3,S1FL,ObjectiveCSD_Disk_10_176
99,4314.565118025598,-1299.5579054194604,-2056.7409692649862,L3,S1FL,ObjectiveCSD_Disk_10_176
